Questions,Answers,Subcategory
ขั้นตอนและช่วงเวลาเปิดรับสมัครนักศึกษา?,สามารถติดตามข่าวสารรายละเอียดการเปิดรับสมัคร เอกสารและขั้นตอนต่างๆเพิ่มเติมที่ได้ที่ CPE KMUTT Admission,คำถามทั่วไป
ขั้นตอนการรับสมัครโครงการทุนการศึกษา?,สามารถอ่านการสมัครแต่ล่ะโครงการได้ที่ https://www.cpe.kmutt.ac.th/th/index,คำถามทั่วไป
สามารถติดต่ออ.ได้ช่องทางไหนบ้าง?,"สามารถดูรายชืออาจารย์ และบุคคลากรรวมถึงช่องทางการติดต่อได้ที่ https://www.cpe.kmutt.ac.th/th/staff
หรือติดต่อผ่านทางธุรการที่อาคารวิศววัฒนะ ชั้นที่ 10 
เบอร์โทร 0 2470 9388 หรือ 0 2470 9387",คำถามทั่วไป
เวลาต้องการยื่นเอกสารต้องยื่นที่ไหน,"สามารถส่งจดหมายได้ตามที่อยู่ดังนี้ ภาควิชา, คณะวิศวกรรมศาสตร์
ชั้น 10-11, อาคารวิศววัฒนะ,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี
126 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพฯ 10140
หรือ สามารถมายื่นเอกสารด้วยตัวเองได้ที่อาคารวิศววัฒนะ  ชั้น 10 ณ มจธ.",คำถามทั่วไป
มีที่ฝึกงานแนะนำไหม?,มีพี่แคทได้ทำวิดีโอสัมภาษณ์พี่ๆใน CPE31 ที่ไปฝึกงานตามบริษัทต่างๆเอาไว้ว่า แต่ล่ะที่มีการทำงานเป็นอย่างไรบ้าง สามารถเข้าไปดูได้ที่ https://www.youtube.com/channel/UCVgvzfhWo21zQQ56Xpt4A6g,คำถามทั่วไป
/วิศวะคอมพิวเตอร์ เรียนจบทำงานอะไร,"สามารถทำงานได้ทั้งในด้านซอฟต์แวร์, ฮาร์ดแวร์, Data และ เน็ตเวิร์ค",คำถามทั่วไป
หลักสูตรปกติจบมาแล้วทำงานในสายใดบ้าง?,"-วิศวกรคอมพิวเตอร์
-วิศวกรซอฟต์แวร์
-นักพัฒนาเว็บไซต์ หรือ แอพลิเคชั่น
-นักวิจัยและพัฒนา ฮาร์ดแวร์คอมพิวเตอร์
-นักวิเคราะห์ระบบสารสนเทศ
-วิศวกรระบเครือข่าย",คำถามทั่วไป
หลักสูตรนานาชาติจบมาแล้วทำงานในสายใดบ้าง?,"-วิศวกรคอมพิวเตอร์
-Business Intelligence Analyst
-Data Scienctist
-Data Engineer
-Software Developer",คำถามทั่วไป
หลักสูตรวิทยาศาสตร์ข้อมูลสุขภาพจบมาแล้วทำงานในสายใดบ้าง?,"- นักวิทยาศาสตร์ข้อมูล
- นักระบาดวิทยา
- นักพัฒนาซอฟต์แวร์และระบบข้อมูล
-นักวิเคราะห์และออกแบบระบบคอมพิวเตอร์
-ผู้ดูแลระบบเครือข่ายและคลังข้อมูล",คำถามทั่วไป
หลักสูตรเรสิเดรเทียล คอเจน์จบมาแล้วทำงานในสายใดบ้าง?,"-วิศวกรคอมพิวเตอร์
-นักพ็ฒนาวอฟตืแวร์และระบบคอมพิวเตอร์
-นักวิทยาศาสตร์ข้อมูล
-นักวิเคราะห์และออกแบบระบบคอมพิวเตอร์
-ผู้ดูแลเครือข่ายและคลังข้อมูล",คำถามทั่วไป
วิศวะคอม/หลักสูตรปกติจบแล้วได้ปริญญาอะไร?,วศ.บ.(),คำถามทั่วไป
วิศวะคอม/หลักสูตรนานาชาติจบแล้วได้ปริญญาอะไร?,"B.Eng. - Bachelor ogf Engineering, Computer Engineering",คำถามทั่วไป
วิศวะคอม/หลักสูตรวิทยาศาสตร์ข้อมูลสุขภาพจบแล้วได้ปริญญาอะไร?,วท.บ.(วิทยาศาสตร์ข้อมูลสุขภาพ) ของวิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์,คำถามทั่วไป
วิศวะคอม/หลักสูตรเรสิเดนทอล คอลเลจจบแล้วได้ปริญญาอะไร?,วศ.บ.(),คำถามทั่วไป
วิศวะคอม/แล้วได้ปริญญาอะไร?,"วิศวะคอมพิวเตอร์หลักสูตรปกติ นานาชาติ และ เรสิเดทอล คอเรจ
ได้ปริญญา วศ.บ.() ส่วนหลักสูตรวิทยาศาสตร์ข้อมูลสุขภาพจะได้ใบปริญญา
วท.บ.(วิทยาศาสตร์ข้อมูลสุขภาพ) ของวิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์",คำถามทั่วไป
หลักสูตรวิิทยาศาสตร์ข้อมูลสุขภาพคืออะไร?,"การร่วมมือระหว่าง คณะแพทยศาสตร์และการสาธารณะสุขราชวิทยาลัยจุฬาภรณ์ 
และคณะวิศวกรรมศาสตร์ KMUTT",คำถามทั่วไป
สมัครหลักสูตรยังไง?,สามารถศึกษารายละเอียดหลักสูตรและขอรับเข้าการศึกษาได้ที่ https://www.cpe.kmutt.ac.th/  หรือติดตามรายเพิ่มเติมได้ที่ ได้ที่เฟสบุคเพจ CPE KMUTT Admission,คำถามทั่วไป
การส่งคะแนนสอบภาษาอังกฤษเพื่อสำเร็จการศึกษา ส่งอย่างไร?,"สามารถส่่งจดหมายโดยใส่ซองปิดผนึกและเขียนที่อยู่ตามนี้ ถึงคุณ นงค์เยาว์ จำปาหอม (NONGYAO JAMPAHOM)
ภาควิชา, คณะวิศวกรรมศาสตร์
ชั้น 10, อาคารวิศววัฒนะ,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี
126 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพฯ 10140
เบอร์ 02 470 9388
หรือสามารถเดินนำคคะแนนมาส่งได้ด้วยตัวเองที่ภาควิชาวิศวะคอมพิวเตอร์ ชั้น 10, อาคารวิศววัฒนะ",คำถามทั่วไป
เรียนจบต้องใช้คะแนนอังกฤษอะไรบ้าง ขั้นตํ่าเท่าไหร่??,"นักศึกษา ชั้นปีที่ 4 หลักสูตรนานาชาตินานาชาติ บังคับต้องยื่นคะแนน 
TOEFL 500, TOIEC 600, IELTS 5.5, TETET 5 ก่อนจบการศึกษา
ส่วนนักศึกษาหลักสูตรปกติ จำเป็นต้องสอบคะแนนภาษาอังกฤษ แต่ไม่กำหนดขั้นตํ่า",คำถามทั่วไป
มีเงินไม่พอจ่าย ทำอะไรได้บ้าง?,นักศึกษาปริญญาตรีสามารถทำงานักบภาควิชาเพื่อขอทุนได้ โดยจะมีทุนผู้ช่วยสอนม ทุนจ้างงาน ทุนต่างประเทศ และสามารถดูรายละเอียดเพิ่มเติมขิงทุนได้ที่ https://www.cpe.kmutt.ac.th/th/scholarship,ทุน
สามารถขอทุนอะไรบ้าง?,"นักศึกษาปริญญาตรีสามารถขอทุนการศึกษาจากทางมหาวิทยาลัย โดยจะมีทุนดังนี้ทุนเรียนดีภาควิชา,ทุนเพชรพระจอมเกล้า, ทุนผู้ช่วยสอนม ทุนจ้างงาน ทุนต่างประเทศ และสามารถดูรายละเอียดเพิ่มเติมขิงทุนได้ที่ https://www.cpe.kmutt.ac.th/th/scholarship",ทุน
ปัจจุบันมีทุนอะไรเปิดรับบ้าง?,สามารถติดตามรายละเอียเพิ่มเติมได้ที่ Facebook: ทุนการศึกษา มจธ.,ทุน
การสมัครกู้ยืมเรียน ทำอย่างไร?,"สามารถสมัครทุนกยศ.หรือกรอ. โดยผู้สมัครดูรายละเอียดการสมัครและคุณสมบัติของผู้สมัครได้ที่
https://regis.kmutt.ac.th/web/%E0%B8%97%E0%B8%B8%E0%B8%99%E0%B8%81%E0%B8%A2%E0%B8%A8-%E0%B8%97%E0%B8%B8%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%AD/
ช่องทางการติดต่อ Facebook: ทุนการศึกษา มจธ. เบอร์ติดต่อ 0-2470-8097-8, 0-2470-8107",ทุน
ทุนของภาควิชามีอะไรบ้าง？,สำหรับปริญญาตีทางภาควิชาฯ ได้จัดสรรทุนการศึกษาให้แก่นักศึกษา คือ ทุนเรียนดี สำหรับนักศึกษาปริญญาตรี จำนวน 2 ทุนต่อปี โดยทุนดังกล่าวจะสนับสนุนค่าบำรุงการศึกษาและค่าหน่วยกิต (ตามที่จ่ายจริง) ในแต่ละภาคการศึกษา และจ่ายให้ตามระยะเวลาที่นักศึกษา ศึกษาอยู่ในหลักสูตรนั้น ๆ,ทุน
ทุนเพชรพระจอมเกล้าภาควิชารับกี่คน？,"ทุนเพชพระจอมเกล้าระดับปริญญาตรี แบ่งออกเป็น
1.ทุนทางด้านวิชาการดีเด่น จำนวน 1 ทุน จากวิธีการ Active Recruitment
2.ทุนส่งเสริมผู้มีความสามารถเฉพาะด้าน จำนวน 1 ทุนต่อ 1 หลักสูตร (เฉพาะหลักสูตรปกติและหลักสูตรนานาชาติ) โดยแบ่งเป็นทั้งหมด 4 ด้านคือ ด้านกีฬา, ด้านศิลปวัฒนธรรม, ด้านความเป็นผู้นำ และความคิดสร้างสรรค์และนวัตกรรม จากการคัดลเือกของภาควิชาและส่วนกลางของมหาวิทยาลัย",ทุนเพชรพระจอมเกล้า
ทุนจ้างงานคืออะไร？,เป็นทุนที่มีวัตถุประสงค์ส่งเสริมนักศึกษาในช่วงเวลาว่างจากการเรียน โดยใช้เวลาให้เป็นประโยชน์ สร้างเสริมประสบการณ์ ทำให้มีใจรักในการทำงาน และเป็นการหารายได้พิเศษ สำหรับนักศึกษาขาดแคลนทุนทรัพย์,ทุนจ้างงาน
ถ้าอยากไปเรียนต่อต่างและขอทุนต่างประเมศต้องทำอย่างไรบ้าง？,สามารถดูรายละเอียดเพิ่มเติมได้ที่ www.inter.kmutt.ac.th,ทุนต่างประเทศ
