Questions,Answers,Subcategory
ถ้าต้องการลงทะเบียนเรียนน้อยกว่า 9 หน่วยกิตต้องทำอย่างไร?,"นักศึกษาสามารถเขียนเอกสาร สทน.18 คำร้องขอลงทะเบียนต่ำกว่า/เกินกว่าหน่วยกิตที่กำหนด พร้อมระบุเหตุผลและความจำเป็นที่เพิ่มหน่วยกิต  ส่งให้แก่ภาควิชาฯ
เอกสารที่ต้องการ
1. แนบสำเนาผลการเรียนทุกภาคการศึกษา
2. สำเนาเอกสารการลงทะเบียน
ลายเซ็นต์ที่ต้องการ;
1. อาจารย์ที่ปรึกษา
2. หัวหน้าภาควิชา
3. มติคณะกรรมการประจำคณะ
*หมายเหตุ เฉพาะนักศึกษาปีที่ 4 เท่านั้น, มีคำร้องออนไลน์ในระบบ New ACIS นักศึกษาโปรดยื่นคำร้องผ่านระบบ
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/    ",ลงทะเบียนเรียน
ถ้าการย้ายหลักสูตรต้องทำอย่างไร?,"1. ได้รับความเห็นชอบจากอาจารย์ที่ปรึกษา หัวหน้าภาควิชาในภาควิชาเดิมและได้เรียนตามแผนการศึกษาในสาขาวิชาเดิมมาแล้ว ไม่น้อยกว่าสองภาคการศึกษาปกติ ทั้งนี้ไม่นับภาคการศึกษาที่ลาพัก หรือถูกสั่งพักการศึกษา
2. นักศึกษาจะต้องมีคะแนนเฉลี่ยสะสมไม่ต่ำกว่า 2.00
3. นักศึกษาจะต้องยื่นร้องต่อภาควิชาที่จะย้ายเข้า ในระยะเวลาสัปดาห์ นับแต่วันประกาศผลการศึกษาภาคเรียนที่ 2
4. ต้องได้รับความเห็นชอบจากที่ประชุมภาควิชาที่จะขอย้ายเข้าก่อนและภาควิชาที่เห็นชอบการย้ายเข้าของนักศึกษาจะต้องดำเนินการเทียบโอนผลการเรียนของนักศึกษาที่ได้ศึกษามาแล้วมาเป็นรายวิชาและหน่วยกิตในหลักสูตรของภาควิชานั้นๆ เพื่อเสนอให้ที่ประชุมคณะกรรมการประจำคณะวิศวกรรมศาสตร์พิจารณาอนุมัติการย้ายภาควิชาและการโอนผลการเรียนตามระเบียบมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีให้ทันต่อการลงทะเบียนในภาคการศึกษาปกติต่อไป",หลักสูตร
อยากได้เอกสารเบิกค่าเทอมต้องเตรียมอะไรบ้าง,นักศึกษาสามารถดำเนินการตามวิธีการดังนี้ได้ https://regis.kmutt.ac.th/order/Slip.pdf,เอกสาร
ลงทะเบียนล่าช้าหลังระบบลงทะเบียนปิดที่ไหน,"นักศึกษาสามารถเขียนเอกสาร เพื่อส่งให้ที่ภาควิชาฯ
เอกสารที่ต้องการ:
1. สทน.01 คำร้องทั่วไปขอลงทะเบียนล่าช้า ชี้แจงเหตุผลให้ชัดเจน 
2. สทน.26 รายวิชาที่ขอลงล่าช้า เพิ่ม เปลี่ยนกลุ่ม 
ลายเซ็นต์ที่ต้องการ: 
สทน.01 (1) อ.ที่ปรึกษา (2) หัวหน้าภาควิชา/ประธานหลักสูตร
สทน.26 (1) อ.ที่ปรึกษา (2) อาจารย์ผู้สอน (ยกเว้น GEN LNG SSC ติดต่อส่วนกลางของสายวิชา) 
หรือติดต่อ กลุ่มงานช่วยเหลือทางการเงินแก่นักศึกษา 
โทรศัพท์ 0-2470-8107, 8097 , 8098 , 8185 , 9988 (ในวันเวลาทำการ) 
Facebook : https://www.facebook.com/SFAKMUT  ",ลงทะเบียนเรียน
ลงทะเบียนเรียนล่าช้าใช้เอกสารอะไรบ้าง,"เอกสารที่ต้องมี สทน.01 คำร้องทั่วไป และ สทน.26 รายวิชาที่ขอลงล่าช้า เพิ่ม เปลี่ยนกลุ่ม, 
ซึ่งสามารถ  Download คำร้องต่างๆ ได้ที่นี่ https://regis.kmutt.ac.th/web/form/  ",ลงทะเบียนเรียน
ลงทะเบียนเรียนเพิ่มรายวิชา ชำระเงินได้ที่ไหน?,สามารถชำระเงินได้โดย Scan QR Code แล้วชำระผ่าน Application ของธนาคาร หรือสั่งพิมพ์ใบแจ้งหนี้จาก https://sinfo.kmutt.ac.th/  และนำไปจ่ายที่เคาน์เตอร์ธนาคารกรุงเทพเท่านั้น,ลงทะเบียนเรียน
ชำระเงินค่าลงทะเบียนแล้ว แต่ในระบบยังขึ้นว่าไม่ชำระเงิน,"กรณีที่นักศึกษาชำระเงินค่าลงทะเบียนใน วันศุกร์ วันเสาร์-วันอาทิตย์ ข้อมูลสถานะการชำระเงินจะถูก Update ผ่านระบบ ในวันจันทร์ เวลา 10.30 น., 
หากมีขอสงสัยในการชําระเงินติดต่อ สำนักงานคลัง 0-2470-8121, 8122 (ในวันเวลาราชการ)",ลงทะเบียนเรียน
กรณีเพิ่มและลดรายวิชา จะได้รับเงินคืนไหม หรือ ต้องจ่ายเงินเพิ่มเท่าไหร่,"การลดรายวิชา นศ. จะได้รับเงินคืน 80% ของค่าหน่วยกิตเพื่อนำไปจ่ายในรายวิชาที่เพิ่ม, หากกรณีลงเพิ่ม นักศึกษาต้องจ่ายวิชาใหม่เพิ่ม 20% ของค่าหน่วยกิต",เพิ่มลดรายวิชา
กรณีเพิ่มและหลักสูตรปิดรายวิชา จะได้รับเงินคืนไหม หรือ ต้องจ่ายเงินเพิ่มเท่าไหร่,กรณีหลักสูตรแจ้งปิดรายวิชา นศ. จะได้รับเงินคืน 100% ของค่าหน่วยกิต เพื่อนำไปชำระในวิชาที่นศ.ลงเพิ่มโดยไม่ต้องจ่ายเงินเพิ่ม,เพิ่มลดรายวิชา
ลืมจ่ายเงินค่าลงทะเบียน และ ใบแจ้งหนี้เกินกำหนดไปแล้ว ทำยังไง?,"ให้นักศึกษาส่งข้อมูล ชื่อ-สกุล รหัสนักศึกษา เหตุผลที่ไม่สามารถชำระเงินได้ตามกำหนดเวลา ไปที่ sfa@mail.kmutt.ac.th 
หรือติดต่อ มาที่ กลุ่มงานช่วยเหลือทางการเงินแก่นักศึกษา https://www.facebook.com/SFAKMUTT  
โทรศัพท์ 0-2470-8107, 8097 , 8098 , 8185 , 9988 (ในวันเวลาทำการ)",ค่าเทอม
แจ้งขอสำเร็จการศึกษาได้ที่ไหน,สามารถแจ้งจำนงจอสำเร็จการศึกษาได้ที่  https://pre-grad.kmutt.ac.th/ ,เอกสาร
ใบแจ้งชำระเงินค่าลงทะเบียน สั่งพิมพ์ได้จากที่ไหน,"Login เข้าระบบ https://sinfo.kmutt.ac.th/  เลือกเมนู ""ลงทะเบียนรายวิชา"" > เลือก ""ชำระเงินค่าลงทะเบียน/ค่าลาพัก (รักษาสถานภาพ) และอื่นๆ"" > กด ""ชำระเงิน"" > ระบบจะแสดงใบแจ้งหนี้ให้นักศึกษานำไปชำระ",เอกสาร
ขอลดรายวิชาออนไลน์ หลังหมดเขต เพิ่ม-ลด 2 สัปดาห์แรกได้ที่ไหน?,"เข้าระบบ https://sinfo.kmutt.ac.th/ > เลือกเมนู ""ลงทะเบียนรายวิชา"" > เลือกเมนูที่ 3 ""ลดรายวิชา"" > เลือกรายวิชาแล้วกดยืนยันการลด > การลดรายวิชาจะสมบูรณ์เมื่อ อ.ที่ปรึกษา กดอนุมัติออนไลน์ผ่านระบบ",เพิ่มลดรายวิชา
สามารถเช็คกำหนดการลงทะเบียนเรียนได้ที่ไหน?,สามารถเช็คกำหนดการลงทะเบียนเรียนได้ที่นี่ https://regis.kmutt.ac.th/web/registration/,ลงทะเบียนเรียน
ลาป่วยต้องทำอย่างไร? ,"นักศึกษาสามารถใช้เอกสาร สทน.16 เพื่อขอลาป่วย/ลากิจได้ ส่งแก่ภาควิชาฯ
ลายเซ็นต์ที่ต้องการ;
1. ผู้ปกครอง 
2. อาจารย์ที่ปรึกษา 
3. หัวหน้าภาควิชา 
4. อาจารย์ผู้สอน
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/   ",ลา/พักการเรียน
ลากิจต้องทำอย่างไร?,"นักศึกษาสามารถใช้เอกสาร สทน.16 เพื่อขอลาป่วย/ลากิจได้ ส่งแก่ภาควิชาฯ
ลายเซ็นต์ที่ต้องการ;
1. ผู้ปกครอง 
2. อาจารย์ที่ปรึกษา 
3. หัวหน้าภาควิชา 
4. อาจารย์ผู้สอน
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/    ",ลา/พักการเรียน
ต้องการสอบโดยไม่เข้าเรียนได้ไหม?,"นักศึกษาสามารถเขียนเอกสาร สทน.22 คำร้องขอสมัครสอบโดยไม่ลงทะเบียนเรียน ให้ภาควิชาฯ
ลายเซ็นต์ที่ต้องการ;
1. อาจารย์ที่ปรึกษา 
2. หัวหน้าภาควิชา 
3. อาจารย์ผู้สอน
*หมายเหตุ เฉพาะนักศึกษาปีที่ 4 เท่านั้น
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/  ",หลักสูตร
ผมอยากลาออกต้องทำยังไง?,"นักศึกษาสามารถ แจ้งจำนงลาออกโดยใช้เอกสาร สทน.13 คำร้องขอลาออก ส่งให้ภาควิชาได้เลย บะบายย ขอให้โชคดี
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/      ",หลักสูตร
ยังต้องเข้าไปเรียนที่มหาลัยไหม?,ให้นัักศึกษาดูตามแนวทางการจัดการสอนของแต่ละรายวิชา แต่อาจมีการเปลี่ยนแปลงไปตามประกาศและคำสั่งของราชการ ที่เพจ KMUTT,อื่นๆ
หากจบการศึกษาไม่ทันเกณฑ์ทหารทำยังไง,นักศึกษาสามารถติดต่อคุณวินัย แสนสุข สำนักงานกิจการนักศึกษา โทร. 087-821-7221,อื่นๆ
ขอทรานสคริปต์ออนไลน์ได้ที่ไหน,"นักศึกษาสามารถทำตามรายละเอียดได้ตามนี้
1. ดาวน์โหลดแอปพลิเคชั่น ""New ACIS Mobile Application""
2. เลือกเมนู New ACIS Mobile
3. Login เข้าสู่ระบบ 
4. เลือก Download Transcript
5. เลือก Download
6. Get your Digital Transcript",เอกสาร
สามารถเช็คคอร์สเรียนออนไลน์ได้ที่ไหน,นักศึกษาสามารถตรวจสอบคอร์สเรียนออนไลน์ได้ที่นี่ https://nyx.kmutt.ac.th/OnlineClass/jbLogin.aspx,หลักสูตร
ถ้าจะจบการศึกษา แต่เรียน gen ซ้ำหมวดกันทำยังไง,"นักศึกษาสามารถทำำตามขั้นตอนได้ดังนี้
1. นศ.สมมารถดาวน์โหลดเอกสารคำร้องทั่วไป สทน.01 จาก https://regis.kmutt.ac.th/web/form/ โดยกรอกข้อมูลขอเรียน GENXXX ซ้ำหมวดถึงหัวหน้าสำนักงานวิชาศึกษาทั่วไป แล้วส่งไฟล์ pdf ให้ภาควิชา
2 หรือหากมี นศ.เรียน GENXXX ซ้ำหมวดมากกว่า 1 คน สามารถรวบรวมรายชื่อและทำบันทึกข้อความมาฉบับเดียวได้",หลักสูตร
ตรวจวันเวลาสอบได้ที่ไหน,"นักศึกษาสามารถตรวจสอบข้อมูลได้ที่
1. Login เข้าระบบ New ACIS https://sinfo.kmutt.ac.th/ 
2. เลือกเมนู ""ตารางสอน/ตารางสอบ""
3. เลือก ""สอบถามตารางสอบ""
4. ตรวจสอบ เลขที่นั่งสอบ ห้องสอบ  ",ตารางสอบ
ถ้าวิชาเรียน sec เต็มแล้วทำยังไง,"ให้นักศึกษาเขียนคำร้อง สทน.25 หรือ สทน.26 ที่ผ่านการอนุมัติจาก 1.อาจารย์ผู้สอน และ 2.อ.ที่ปรึกษา 
เฉพาะ GEN/LNG/SSC อ.ผู้สอนจะไม่มีสิทธิ์เซ็น ต้องติดต่อส่วนกลางของคณะศิลปะศาสตร์เท่านั้น รายละเอียดดังนี้
1. GEN อ.ปาณเลิศ, อ.สุพรรษา (ตึกศิลป์ ชั้น 2)
2. LNG อ.สมพธู (ตึกศิลป์ ชั้น 2)
3. SSC อ.ศิริพันธ์ (ตึกศิลป์ ชั้น 8)
เฉพาะ GEN101 อ.อังคณา (โรงยิม ชั้น 3)
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/      ",sec
ถ้าจะต้องการเอาเครื่องคิดเลขเข้้าห้องสอบต้องทำยังไง,นักศึกษาต้องนำเครื่องคิดเลขมาตรวจสอบและติดสติ๊กเกอร์ของมหาวิทยาลัย ที่สำนักงานทะเบียนนักศึกษา,อื่นๆ
สามารถลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้หรือไม่,"1. นักศึกษาปกติ ชั้นปีที่ 1 ถึง ชั้นปีที่ 4 เทอม 1 เกรดเฉลี่ยสะสมเกณฑ์น้อยกว่า 2.5 ห้ามลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนด 2.5 ถึง 3.00 ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ 1 วิชา (ไม่เกิน 3 หน่วยกิต)  3.00 ขึ้นไปลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ ตามที่อาจารย์ที่ปรึกษาเห็นสมควร
2. นักศึกษาสหกิจ ชั้นปีที่ 3 เกรดเฉลี่ยสะสมเกณฑ์น้อยกว่า 2.5 ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ 1 วิชา (ไม่เกิน 3 หน่วยกิต) 2.5 ถึง 3.00 ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ 2 วิชา (ไม่เกิน 6 หน่วยกิต) 3.00 ขึ้นไป ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ ตามที่อาจารย์ที่ปรึกษาเห็นสมควร
3. นักศึกษาชั้นปีที่ 4 เทอม 2 เกณฑ์ ลงทะเบียนเกินหน่วยกิตที่หลักสูตรกำหนดได้ ตามที่อาจารย์ที่ปรึกษาเห็นสมควร",หลักสูตร
